Column,title,date_created,keywords,media_type,description,nasa_id,links
0,NASA Administrator Bill Nelson | Answering Climate Change from Above,2024-09-30,"NASA, NASA Administrator Bill Nelson, Climate Change",video,NASA Administrator Bill Nelson speaks to the power of NASA’s climate-related data to help the world understand climate change and take action.   “The challenge of the climate crisis is here and now. Let’s answer it—from above.”    Most of what humanity knows about our changing planet comes from NASA’s more than two-dozen satellites and instruments—and from the agency’s observations for over 60 years.,NASA Administrator Bill Nelson - Answering Climate Change from Above,https://images-assets.nasa.gov/video/NASA Administrator Bill Nelson - Answering Climate Change from Above/NASA Administrator Bill Nelson - Answering Climate Change from Above~large.jpg
1,Is Climate Change the Same as Global Warming? We Asked A NASA Expert,2023-07-27,"We Asked A NASA Expert, Climate Change, Global Warming, Earth, Greenhouse Gases",video,"Is climate change the same as global warming? They’re not exactly the same, but they are related. The warming of Earth — or global warming — is just one factor that makes up a range of changes that are happening to our planet, which is climate change. NASA scientist Dr. Yolanda Shea explains more.",Is Climate Change the Same as Global Warming_ - Horizontal Video,https://images-assets.nasa.gov/video/Is Climate Change the Same as Global Warming_ - Horizontal Video/Is Climate Change the Same as Global Warming_ - Horizontal Video~large.jpg
2,Ask A Climate Scientist - Climate Change and Humans,2013-12-03,"Precipitation, Sea Level Rise, Climate Change, Food Supply, Earth",video,"How does climate change affect humans? That's the question we asked Tom Wagner, Program Scientist for Cryospheric Research at NASA. In four different ways, he says, from rainfall patterns and sea levels rising to food production and ocean acidification. First, ""as the planet warms up, we're going to redistribute rainfall, which is going to affect our water resources and parts of North America may get a lot drier.""  Second, ""as the polar ice melts, sea levels are going to rise."" The world's major cities, and a lot of people, are right on the coasts and rising sea levels are going to impact them.  Third, thinking about food, the ""distributions where we can grow food are going to change as the planet warms up."" So the range over which you can grow corn and other crops will change.  Fourth, says Tom Wagner, ""the oceans are going to get more acidic as more CO2 dissolves in them."" There are untold ramifications from that, including the possibility of radically altering the food web in the ocean, ""which can affect everything from the composition of the atmosphere to the ability of the oceans to provide food for us.""",GSFC_20131203_AACS_m11426_Affect_Humans,https://images-assets.nasa.gov/video/GSFC_20131203_AACS_m11426_Affect_Humans/GSFC_20131203_AACS_m11426_Affect_Humans~large.jpg
3,NASA Scientists Help Citites Prepare for Climate Change,2016-11-16,"Earth, Landsat, New York City, Earth Science, Climate Change, MODIS",video,"Researchers and city officials from two of the world’s major metropolises, New York City and Rio de Janeiro, are coming together to share their insights and solutions against specific climate risks afflicting both their cities— sea level rise, increased temperatures and changes in water quality.",GSFC_20161116_Climate_m12426_Change,https://images-assets.nasa.gov/video/GSFC_20161116_Climate_m12426_Change/GSFC_20161116_Climate_m12426_Change~large.jpg
4,Ask A Climate Scientist - Food Production,2013-09-18,"Climate Change, Food Supply, Earth",video,"Will climate change drastically reduce our food production, or will it change what we produce? This question was posed to Goddard Space Flight Center's Molly Brown as part of NASA's Ask A Climate Scientist campaign.",GSFC_20130918_AACS_m11356_Food,https://images-assets.nasa.gov/video/GSFC_20130918_AACS_m11356_Food/GSFC_20130918_AACS_m11356_Food~large.jpg
5,Gary Jedlovec Climate Change Presentation to Green Team,2019-12-04,"MSFC, Gary Jedlovec, Green Team, Climate Change",image,"NASA climatologist Gary Jedlovec, a member of the Earth Science team in Marshall Space Flight Center’s Science and Technology Office, discusses the satellite technology and ground-based tools used to record and trend regional and global climate changes over the past century and to provide forecast models looking 100 years into the future. Jedlovec and his team, which partners with National Oceanic and Atmospheric Association researchers and their colleagues around the world, spoke to the Marshall “Green Team” -- environmental engineers and support personnel who help guide Marshall’s focus on safer, more cost-efficient energy use. The Green Team, led by Marshall Sustainability Engineer Donna Leach of the Environmental Engineering & Occupational Health Office, currently is preparing activities and outreach for Earth Day 2020, set for next April.",MSFC-201901694,https://images-assets.nasa.gov/image/MSFC-201901694/MSFC-201901694~medium.jpg
6,MOC Observes Changes in the South Polar Cap: Evidence for Recent Climate Change on Mars,2001-12-11,"Mars, Mars Global Surveyor MGS",image,MOC Observes Changes in the South Polar Cap: Evidence for Recent Climate Change on Mars,PIA03179,https://images-assets.nasa.gov/image/PIA03179/PIA03179~thumb.jpg
7,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070019,https://images-assets.nasa.gov/image/NHQ202408070019/NHQ202408070019~medium.jpg
8,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070014,https://images-assets.nasa.gov/image/NHQ202408070014/NHQ202408070014~medium.jpg
9,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"Members of the Climate Change Research Initiative (CCRI) cohort listen as Karen St. Germain, director of the Earth Science Division of NASA’s Science Mission Directorate speaks, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070007,https://images-assets.nasa.gov/image/NHQ202408070007/NHQ202408070007~medium.jpg
10,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,"Climate Change Research Initiative (CCRI), DC, Mary W. Jackson NASA Headquarters, NASA Early Career Research Program (ECR), Washington",image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070018,https://images-assets.nasa.gov/image/NHQ202408070018/NHQ202408070018~medium.jpg
